"Project","Text","SDG","Target"
"171644","financial staff required selflearning elearning platform developed world bank pass test signing loan agreement","SDG 12","SDG 12.1"
"171644","financing sources program comprehensive pip multipleyear program budgeting prepared ensure integrating funds broad sources program funds secured county government onetime compensation funds budget quota distributed prioritize investment enhance efficiency scarce financing countiescities batches program funds delivered resources provincial entities revisit budget quota httpswwwworldbankorgenprojectsoperationsprocurementdebarredfirms page yangtze river protection ecological restoration program risk mitigation action half yearend prevents distribution actions ensure budget quota county government including entire program funds distributed countycity advance annual budget delays implementation planned activities","SDG 11","SDG 11.3"
"171644","lack knowledge experience carrying procurement world banks procurement regulations possibility hiring cwrc affiliated agencies single source basis justifications acceptable world bank","SDG 13","SDG 13.a"
"171644","tranche central government transfers distributed advance previous provincial government delivered half current","SDG 16","SDG 16.8"
"171644","audit report issued paos subject quality review china national audit office cnao","SDG 13","SDG 13.2"
"171644","mechanisms supportive efficiency funding allocation rule rbecp funds allocated counties sets indicators performance water environment improvement performance forest quality improvement performance water resource management ecological importance county","SDG 17","SDG 17.19"
"171644","mitigation measures proposed program loan effectiveness provincial program office issue highlevel official letter official instruction require program implementation agencies pias ensure contract awarded ineligible firms individuals ii procurement staff ppmo check list debarred temporarily suspended firms individuals contract award ensure contracts awarded eligible firms individuals iii tor annual external audit include task randomly selecting contracts assessing awarded ineligible firm individual informed fraud allegations corruption issues implementation","SDG 13","SDG 13.a"
"171644","mitigation measures proposed program loan effectiveness provincial program office issue highlevel official letter official instruction require program implementation agencies pias ensure contract awarded ineligible firms individuals ii procurement staff provincial program office check list debarred temporarily suspended firms individuals contract award ensure contract awarded eligible firms individuals iii tor annual external audit include task randomly selecting contracts assessing awarded ineligible firm individual informed fraud allegations corruption issues implementation","SDG 13","SDG 13.a"
"171644","foreign funds audit center cnao assigned cnao auditor project","SDG 13","SDG 13.a"
"171644","framework adaptation climate change water sector mexico development policy loan supporting governments efforts mainstream adaptation climate change water sector strengthening institutions creating water banks regulations monitoring capacity integrated water resources management incentives improve data collection flows information establish watershed management programs improve water quality subnational levels improve productivity irrigation strengthen wastewater treatment improve water quality groundwater recharge","SDG 13","SDG 13.1"
"171644","fsa assessed public financial management system public procurement system key program implementing agencies line agencies","SDG 17","SDG 17.17"
"171644","fsa comprehensive review analysis current systems identifies risks recommends mitigation measures implementation enhance performance current systems meeting program objectives","SDG 16","SDG 16.10"
"171644","gan river water environment information platform collect climaterelated data support management mitigate impacts climate extremes target riverine ecosystems","SDG 11","SDG 11.6"
"171644","gan fu xin rao xiu rivers major tributaries poyang lake","SDG 6","SDG 6.6"
"171644","ganga river basin project measures address water pollution strengthen basin management","SDG 14","SDG 14.1"
"171644","geographic economic significance yangtze river basin ensures progress basin substantially determine national outcomes","SDG 10","SDG 10.3"
"171644","geographic scope program differs activitywith basin province basin countylevel activities reflecting differentiated responsibilities government nature activity","SDG 16","SDG 16.8"
"171644","government announced february reached goal eliminating rural extreme poverty","SDG 1","SDG 1.1"
"171644","government institutions combat fraud corruption","SDG 13","SDG 13.3"
"171644","government recently encouraged electronic bidding","SDG 15","SDG 15.8"
"171644","government tackling plastic pollution issue investments solid waste management bans import waste recycling materials bans single plastic items regulations agricultural plastic film improved monitoring reporting supervision promotion ecodesign material recycling measures","SDG 2","SDG 2.a"
"171644","government china robust legal framework procurement includes tendering bidding law government procurement law regulations issued national provincial county levels","SDG 1","SDG 1.b"
"171644","governments overarching objectives articulated series targets plans water environment","SDG 11","SDG 11.3"
"171644","governments program provincial level hunan outlined integrated water environment management plan dongting lake basin","SDG 6","SDG 6.4"
"171644","governments program provincial level jiangxi outlined riverslake plan","SDG 16","SDG 16.8"
"171644","grs ensures complaints received promptly reviewed address pertinent concerns","SDG 15","SDG 15.8"
"171644","ibrd loan comprise million pforr support subnational provincial programs million province million central basin ipf","SDG 15","SDG 15.8"
"171644","ibrd loan comprise million equivalent pforr support subnational provincial programs million province million equivalent central basin ipf","SDG 15","SDG 15.8"
"172187","complex relationships districtblock local governments watershed programs slow planning implementation accountabilities weak","SDG 11","SDG 11.3"
"172187","comptroller auditor cag india carries compliance audits annually auditrelated queries","SDG 15","SDG 15.8"
"172187","coordination risk mitigated extensive program preparation efforts closely relevant departments agencies","SDG 2","SDG 2.a"
"172187","core set description resilient agriculture technologies practices defined government india respective governments include measures related crop diversification water efficiency package practices strengthen resilience climate change impact agroclimatic zone","SDG 16","SDG 16.1"
"172187","core set resilient agriculture technologies practices defined government india respective governments include measures limited crop diversification water efficiency page rejuvenating watersheds agricultural resilience innovative development package practices strengthen resilience climate change impact agroclimatic zone","SDG 13","SDG 13.2"
"172187","country exposure flooding drought","SDG 14","SDG 14.4"
"172187","covid crisis resulted sharp growth slowdown fy significant fiscal stress central levels","SDG 3","SDG 3.3"
"172187","cpf fy fy india identified focal banks financing focus promoting resource efficient growth focus enhancing competitiveness enabling job creation focus investing human capital","SDG 17","SDG 17.5"
"172187","creation management local watershed development fund sustainability created assets preparation project completion reports emphasized","SDG 13","SDG 13.a"
"172187","criteria shortlisting fpos reflected program manual","SDG 15","SDG 15.8"
"172187","criterial shortlisting fpos reflected program manual","SDG 15","SDG 15.8"
"172187","current systems predominantly mis strengthening reinforcement","SDG 16","SDG 16.10"
"172187","current phase wdcpmksy extended march","SDG 15","SDG 15.8"
"172187","current system lacks systematic screening es risks adverse effects biodiversity cultural resources common property transboundary impacts downstream users workers community health safety issues","SDG 11","SDG 11.6"
"172187","current wdcpmksy national watershed scheme extension till march","SDG 2","SDG 2.a"
"172187","definitions dlis yearwise results achieved verification protocols annex","SDG 15","SDG 15.8"
"172187","department land resources dolr ministry rural development mord goi key national agency responsible watershed development","SDG 15","SDG 15.3"
"172187","district office responsible technical guidance project implementing agencies pias review approval dprs annual action plans organizing capacity building financial management","SDG 13","SDG 13.3"
"172187","dli comprises disbursement linked results dlr","SDG 15","SDG 15.8"
"172187","dlis listed","SDG 15","SDG 15.8"
"172187","dlis finalized consultation dolr participating swds signal critical actions achievement pdo financial incentive achieve intended results practical considerations verifying achievement capacity achieve results program implementation period","SDG 15","SDG 15.a"
"172187","dlis track progress addressing climate vulnerability context achievement identified climate cobenefits watershed committees gram panchayats demonstrate satisfactory watershed management measured performance rating system","SDG 13","SDG 13.2"
"172187","dolr agree set core indicators meet wdcpmksy requirements","SDG 17","SDG 17.19"
"172187","dolr swds apply disbursements targets met providing documentation bank","SDG 17","SDG 17.8"
"172187","dolr national level swd level primary implementing agencies","SDG 13","SDG 13.2"
"172187","dolr relies existing online mis internal services inputs","SDG 6","SDG 6.a"
"172187","dolr provided strong leadership program preparation mitigate potential risk weak leadership future key staff transferred retire central agency reward program included measures mitigation pforr approach legal agreements signed national page rejuvenating watersheds agricultural resilience innovative development government governments separately resulting accountability ii fewer selected proposed program iii national level component loan modest activities capabilities dolr iv mous technical agencies prior action negotiations national level steering technical committees strategic operational guidance","SDG 9","SDG 9.5"
"172187","dolr national focal implementing agency wdcpmksy scheme key activities supported proposed reward program","SDG 13","SDG 13.2"
"172187","dolr national guidelines funds national watershed schemes execution subproject level","SDG 13","SDG 13.a"
"172187","dolr follow financial rules procurement manuals goodsworksservices goi","SDG 10","SDG 10.5"
"172187","dolr ministry rural development national nodal agency managing government watershed program","SDG 13","SDG 13.2"
"172187","draft essa report wide range stakeholders comments suggestions multistakeholder consultations virtual manner august february revised incorporating comments suggestions received multi stakeholder consultation workshops","SDG 15","SDG 15.8"
"172187","draft essa reports shared respective slnas comments suggestions","SDG 15","SDG 15.8"
"172187","draft guidelines incorporate approaches adopted kwdpii","SDG 15","SDG 15.8"
"172187","due diligence procedure involve reviewing hard copies softcopies signed mou documents","SDG 15","SDG 15.8"
"172187","due diligence procedure involve reviewing hardcopies softcopies joining reports appointed staff directives government staff assigned npmu duties","SDG 16","SDG 16.8"
"172187","duration operations","SDG 15","SDG 15.8"
"172187","economic financial analysis undertaken program preparation estimated period expected program supported activities result net ghg sequestration million tons eq equivalent ghg sequestration million tons eq annum","SDG 15","SDG 15.a"
"172187","efforts ensure social inclusion watershed planning management enhance benefits accrue vulnerable","SDG 10","SDG 10.2"
"172187","eirr watershed development improved agriculture activities percent previous watershed development projects india result reduced planning implementation periods watersheds result scientific planning","SDG 2","SDG 2.a"
"172187","eirr watershed development improved agriculture activities percent previous watershed page rejuvenating watersheds agricultural resilience innovative development development projects india result reduced planning implementation periods watersheds result scientific planning","SDG 2","SDG 2.a"
"172187","emphasis bank support initial sciencebased watershed development capacity building implementing agencies ta facilitating lighthouse approach","SDG 13","SDG 13.3"
"172187","emphasis climate resilience critical importance rainfed focus livelihoods context covid enable quicker localcommunity recovery build longerterm resilience","SDG 13","SDG 13.2"
"172187","environmental risks related extension watershed interventions forest wetlands environmentally sensitive risk change cropping patterns waterintensive highvalue crops leading excessive withdrawal ground water increased fertilizer pesticides risk increase salinity sodicity due excessive irrigation risk restricting surface flow plot level impacting water bodies downstream hydrology","SDG 16","SDG 16.1"
"172187","es risks assessed moderate impacts expected localized reversible predictable effectively mitigated strengthening existing es management systems implementing agencies","SDG 11","SDG 11.6"
"172187","es risks identified essa addressed specific measures pap recommendations","SDG 17","SDG 17.19"
"172187","essa assessed adequacy es systems including existing institutional operational regulatory systems capacities manage es risks priorities recommends measures strengthening","SDG 13","SDG 13.3"
"172187","essa assesses gaps existing institutional operational regulatory systems capacities manage es risks priorities recommends measures strengthening","SDG 13","SDG 13.3"
"172187","essa covered comprehensive review relevant es plansframeworks implementation documents technical studiesreports related national statesupported watershed programs including world bank supported watershed projects karnataka","SDG 16","SDG 16.1"
"172187","essa identified key gaps opportunities strengthening existing institutional operational regulatory systems capacities pertaining es issues reward program","SDG 13","SDG 13.3"
"172187","essa process involved desk review relevant es plansframeworks implementation documents technical studiesreports related national statesupported watershed programs including world bank supported watershed projects karnataka","SDG 16","SDG 16.1"
"172187","essa recommendations focus mechanisms institutional arrangements implementation management reporting es aspects including preparation adoption es aspects program manual watershed subprojects fpo business plans incorporating mechanism institutionalizing dpr specific environment social management plans esmps ii es training capacity program frontline program staff wdcs fpos field nongovernmental organizations ngos panchayat raj institutions pris iii developing sops operational guidelines structured community participation watershed planning implementation operation maintenance performance tracking community participation effective watershed management gram sabha endorsement watershed plans community development fund governance accountability systems watershed communities targeting inclusion criteria women scheduled tribes scheduled castes vulnerable populations watershed committees shgs cigs program beneficiaries iv strengthening womens leadership watershed committees fpos direct participants beneficiaries livelihood interventions inclusion gender socially disaggregated data system vi strengthening institutional mechanism es aspects roles responsibilities administrative levels vii setting periodic monitoring es parameters subproject including social gender disaggregated information beneficiaries viii mechanism converging government agencies tribal development social welfare rural development panchayati raj forest ix strengthening grievance redressal mechanism grm registering screening redressing monitoring reporting grievancesand integrating periodic grievance reporting mis","SDG 13","SDG 13.b"
"172187","evaluation studies adopt comprehensive approach covering technical economic social parameters set indicators instruments drawing international practices","SDG 10","SDG 10.2"
"172187","existing legislative framework adequate ensure social sustainability marginalized vulnerable population including scheduled castes scheduled tribes","SDG 10","SDG 10.7"
"172187","existing national mis strengthened report wider range indicators building comprehensive system","SDG 17","SDG 17.19"
"172187","existing policy institutional framework watershed development inclusion women marginal farmers landlessassetless households scheduled caste scheduled tribe populations program participants beneficiaries","SDG 5","SDG 5.1"
"172187","expected outcomes governments sphere influence","SDG 10","SDG 10.3"
"172187","expected recovery india worlds fastestgrowing economies","SDG 15","SDG 15.8"
"172187","field verification involve checking records wcs gps information indicators pertaining phase considered confirming scores reported mis","SDG 17","SDG 17.19"
"172187","financial analysis basis economic analysis carried scenarios program wp program wop reflecting existing technologiespractices","SDG 15","SDG 15.a"
"172187","financing provided ibrd complement gois resources support activities related strengthening underlying institutional policy environment improving sciencebased watershed development demonstrate efficient effective planning implementation watershed subprojects contribute livelihood enhancement","SDG 16","SDG 16.1"
"172187","financing support usd million dolr expenditures consultancies andor activities including capacity building knowledge exchange development national standards integrated watershed management ii usd million entire wdcpmksy operation participating based usd million karnataka usd million odisha","SDG 13","SDG 13.3"
"172187","findings assessment public financial management cycle applicable reward summarized planning budgeting","SDG 17","SDG 17.17"
"172187","focal analysis results","SDG 15","SDG 15.8"
"172187","framework stipulates evaluation based predisclosed evaluation criterion","SDG 1","SDG 1.b"
"172187","trend precipitation climate models involves fewer wet days intense extreme events increase hot days","SDG 13","SDG 13.2"
"172256","esf pln increased emphasis labor management ohs","SDG 14","SDG 14.4"
"172256","esia confirmed indigenous communities ucps project ess definition","SDG 6","SDG 6.b"
"172256","esp iesm consultant provide independent oversight support","SDG 15","SDG 15.8"
"172256","esp provide independent oversight support","SDG 15","SDG 15.8"
"172256","esp review ensure quality implementation esmp contractors esmps fpf laraps plans","SDG 11","SDG 11.3"
"172256","establishment baby day care consistent law health article paragraph stipulates mothers receive guarantees breastfeeding family government local governments community support mothers providing time special facilities","SDG 14","SDG 14.c"
"172256","facility expected million tenor option extension","SDG 2","SDG 2.a"
"172256","feasibility study divided stages stage consisting update earlier prefeasibility study stage involved topographical mapping project lidar survey extensive geological investigations feasibility level design","SDG 2","SDG 2.a"
"172256","final omp epp dam safety prepared submitted bank prp months prior initiation reservoir filling","SDG 17","SDG 17.8"
"172256","financial model assumes pso compensation transfers paid accrued onwards compensation expected paid budget allocation draft document","SDG 10","SDG 10.5"
"172256","financial model progress assumptions refined current engagements","SDG 10","SDG 10.5"
"172256","financial results based audited financial statements","SDG 10","SDG 10.5"
"172256","financing wider deficit weigh fiscal debt sustainability medium term","SDG 17","SDG 17.4"
"172256","financing offered ibrd aiib result weighted average cost capital wacc percent lower estimated financial internal rate return firr percent","SDG 16","SDG 16.1"
"172256","financing plan communicated level central bank deficit financing expected remain central bank acting standby buyer","SDG 17","SDG 17.8"
"172256","financing sources project activities including financing percentages detailed page development pumped storage hydropower java bali system project dipa bank share refers banks share financing split determined bank aiib financing subcomponent ii procurement","SDG 16","SDG 16.10"
"172256","financing split bank aiib adjusted","SDG 15","SDG 15.8"
"172256","firm submitted advance payment guarantee pln advance payment","SDG 15","SDG 15.8"
"172256","firm confirmed continue project extended bid validity bid security","SDG 8","SDG 8.8"
"172256","firr assumed roughly equal eirr price distortions taxation plays minor role difference environmental benefits minor scenarios ucps details annex","SDG 12","SDG 12.c"
"172256","flexibility speed hydropower turbine operations support frequency control allowing reduction system operating cost improving systemwide efficiency stability ii","SDG 16","SDG 16.10"
"172256","fm assessment carried accordance applicable policies procedures concluded risk rated moderate due delay sla budget availability ii lengthy payment process","SDG 16","SDG 16.1"
"172256","fm specialist based jakarta","SDG 15","SDG 15.8"
"172256","footprint edge west java montane rain forest unique forest habitat home endangered species","SDG 15","SDG 15.8"
"172256","frequency procurement supervision including special procurement supervision postreviews audits defined","SDG 4","SDG 4.3"
"172256","friends indonesia development renewable energies fire multistakeholder platform managed uk bringing donors partner governments philanthropies providing support technical assistance regional knowledge platform","SDG 11","SDG 11.2"
"172256","gap gbv action plan propose respective implementation arrangements","SDG 15","SDG 15.8"
"172256","ghg emission level energy sector metric tons carbon dioxide equivalent mtcoe predicted mtcoe","SDG 7","SDG 7.1"
"172256","ghg emission reduction ucps based displacement gasbased generation capacity required meet peak demand ii vre generation absorbed avoiding curtailment","SDG 13","SDG 13.3"
"172256","ghg emissions calculated performing leastcost system simulations system planning software","SDG 16","SDG 16.10"
"172256","goi started framework support","SDG 1","SDG 1.b"
"172256","goi construction coalfired power generation costefficient keeping everexpanding demand","SDG 15","SDG 15.8"
"172256","governance unsustainable financing model indonesias power sector created growing risks requires urgent reforms improve plns operational financial performance accelerate energy transition","SDG 7","SDG 7.1"
"172256","government relied heavily stateowned enterprise soes deliver infrastructure agenda providing capital injections guarantees","SDG 9","SDG 9.3"
"172256","government plans world bank","SDG 11","SDG 11.3"
"172256","government suspended percent gdp deficit ceiling implemented covid fiscal response package amounting percent gdp","SDG 15","SDG 15.8"
"172256","government rely private sector infrastructure investment","SDG 17","SDG 17.17"
"172256","government specifically memr finalizing presidential regulation revise policy framework remuneration scheme fiscal support viability gap fund projects measures improve investment climate sector","SDG 13","SDG 13.2"
"172256","governments ftpi ii favored coalbased generation broader strategic shift move imported oil reduce exposure fuel price fluctuations deploying indigenous energy sources","SDG 16","SDG 16.1"
"172256","grs ensures complaints received promptly reviewed address projectrelated concerns","SDG 15","SDG 15.8"
"172256","hr strategy appears geared recruiting","SDG 15","SDG 15.8"
"172256","icsc required team specialists supervise implementation cesmps","SDG 15","SDG 15.8"
"172256","icsc provide guidance technical design construction social environmental aspects construction period ii economic financial analysis","SDG 10","SDG 10.2"
"172256","iesm consultant carry regular monitoring missions terms reference submit monitoring reports piu wb","SDG 10","SDG 10.5"
"172256","iesm consultant carry regular monitoring missions terms reference submit monitoring reports piu wb","SDG 10","SDG 10.5"
"172256","iesm consultant support pln monitoring implementation cesmps","SDG 10","SDG 10.5"
"172256","iesm consultant support pln","SDG 15","SDG 15.8"
"172256","implementation bmp impacts communities forest access livelihoods","SDG 15","SDG 15.c"
"172256","implementation support plan staff skills mix summarized table table","SDG 15","SDG 15.8"
"172256","indonesian economy recession time asian financial crisis due covid shock","SDG 15","SDG 15.a"
"172256","information commitments estimate contracts payment schedule included ifr","SDG 4","SDG 4.3"
"172256","internationally reputable experts esp provide independent advice es aspects ucps plant design implementation measures enhance es outcome project","SDG 2","SDG 2.5"
"172256","jakarta post","SDG 15","SDG 15.8"
"172256","javabali grid installed capacity","SDG 17","SDG 17.19"
"172256","javabali grid supplies power percent indonesians percent power generation fossil fuels","SDG 12","SDG 12.c"
"172256","joint due diligence supervision project provide aiib exposure risk profiles ps largescale hydropower","SDG 11","SDG 11.2"
"172256","key factors impacting plns financial situation revenue loss created lower demand due crisis ii emergency tariffs holidays april iii currency fuel price volatility plns ppa debt service payments foreign currency iv international market access risks plns international bond yields doubled height covid related market turmoil","SDG 17","SDG 17.4"
"172256","key factors impacting plns financial situation revenue loss created crisis reduced power demand tariff reductions targeted consumers resulted pln collecting idr trillion revenues consumers originally planned idr trillion actual collections tariff holiday emergency tariffs holidays april december tariff discounts million households reduced pln annual cash inflows trillionmonth average currency fuel price volatility january march idrusd depreciated percent exchange rate recovered currency volatility directly affected plns operating payments ppa debt service payments foreign currency similarly volatility fuel prices increase operating costs recent fall crude oil prices benefited pln temporary reduction fuel costs offsetting operating revenue reduction international market access risks plns international bond yields doubled height covid related market turmoil signalling elevated market risk perception investment grade issuer pln","SDG 16","SDG 16.1"
"172256","key features ucps","SDG 15","SDG 15.8"
"172256","key packages","SDG 15","SDG 15.8"
"172256","key stakeholders consulted included governments west java province bandung barat cianjur regencies village officials perhutani affected population community leaders teachers students csos universities","SDG 10","SDG 10.7"
"172256","larap implementation loan continued loan cancellation","SDG 15","SDG 15.8"
"172592","agriculture department trains agronomists engages agrifood research labs runs demonstration central farm training directly farmers students","SDG 2","SDG 2.a"
"172592","alternative satellitebased systems explored nms receive satellite data light continuing costs concerns reliability granular information systems nms prefers maintain costly network weather stations ground","SDG 16","SDG 16.10"
"172592","amounts tons fertilizer nfertilizers phosphorus potassium herbicide insecticide fungicide calculated based data ciatworld bank csa analysis agronomic references technical reports guidelines mafse local institutions","SDG 13","SDG 13.3"
"172592","analysis assesses productive activities supported cresap offer sufficient financial incentives attract targeted farmers participate ii cash incomes page climate resilient sustainable agriculture project generated activities adequate farmers repay funds borrowed investments","SDG 2","SDG 2.a"
"172592","analysis assumes failure rate percent investment subprojects adopt csa packages based results similar projects region","SDG 16","SDG 16.1"
"172592","analysis assumes increase incomes resulting project depend farmers adoption csa packages promoted cresap infrastructure developed project improve production water agriculture market access","SDG 2","SDG 2.a"
"172592","analysis assumes producers change cropping patterns project implementation","SDG 15","SDG 15.8"
"172592","analysis compares situation project situation project","SDG 15","SDG 15.8"
"172592","analysis considers improvements renewable energy technologies investments infrastructure machinery equipment expected enable efficient resources soil water inputs reduce losses production system","SDG 15","SDG 15.3"
"172592","analysis tariffs account partly due volatile nature tariffs agricultural products","SDG 2","SDG 2.a"
"172592","analysis includes low carbon price lcp carbon price hcp scenario complement base scenario","SDG 2","SDG 2.c"
"172592","analysis representative financial budgets prepared crops livestock produced csa packages considered relevant target","SDG 15","SDG 15.a"
"172592","analysis run tier coefficients underestimate values","SDG 15","SDG 15.9"
"172592","annual audit report due bank months fiscal report public accordance world bank policy access information","SDG 17","SDG 17.17"
"172592","annual budget uploaded project accounting system quickbooks execution monitored","SDG 16","SDG 16.10"
"172592","application measures identified environmental social management including methodology calculating indicator","SDG 17","SDG 17.19"
"172592","approximate dynamics initial project project land detailed sections","SDG 15","SDG 15.3"
"172592","audited financial statement due bank months government belizes fiscal runs april march","SDG 10","SDG 10.5"
"172592","audited financial statement submitted bank months fiscal","SDG 15","SDG 15.a"
"172592","family labor meet onfarm offfarm requirements projected increase demand","SDG 15","SDG 15.8"
"172592","awpb submitted psc approval bank objection","SDG 17","SDG 17.8"
"172592","baims data validated updated projects support","SDG 16","SDG 16.10"
"172592","bank documents due diligence assessment projects potential environmental social risks environmental social review summary","SDG 17","SDG 17.7"
"172592","belizean economy relies heavily countrys natural resources deliver ecosystem products services valued percent gdp","SDG 15","SDG 15.9"
"172592","beneficiaries infrastructure investments matching grants concentrated northern districts belize cayo orange walk corozal belize districts receive significantly rainfall southern districts subjected severe drought conditions result climate change","SDG 13","SDG 13.2"
"172592","beneficiaries matching grants subcomponent benefit technical support preparing matching grant proposals subcomponent beneficiaries matching grants infrastructure subcomponents subcomponents beneficiaries eextension services delivered component","SDG 9","SDG 9.a"
"172592","borrower conducted stakeholder consultations","SDG 15","SDG 15.8"
"172592","borrower mafse carry project assistance bsif page climate resilient sustainable agriculture project accordance provisions article conditions schedule loan agreement subsidiary agreement bsif","SDG 2","SDG 2.a"
"172592","borrower mafse bsif pfis enter agreements participation agreements beneficiaries pfi provide beneficiary matching grant finance csa investment manner acceptable bank basis model satisfactory bank set mgom","SDG 17","SDG 17.5"
"172592","borrower mafse establish maintain project implementation approval committee matching grant approval committee composition functions responsibilities satisfactory bank set matching grant operations manual mgom","SDG 17","SDG 17.8"
"172592","bsif piu charge aggregating analyzing data inclusion semiannual progress reports","SDG 16","SDG 16.10"
"172592","bsif piu responsible coordination monitoring climatesmart matching grant program","SDG 10","SDG 10.5"
"172592","bsif piu develop project manual incorporated pom","SDG 12","SDG 12.1"
"172592","bsif piu responsibility","SDG 15","SDG 15.8"
"172592","bsif pius responsibilities include procurement financial management monitoring evaluation management environmental social risks instruments including gender communications citizen engagement management designated account da preparation technical financial reports submission withdrawal applications bank management grievance recess services grs","SDG 10","SDG 10.5"
"172592","ceiling da variable based cash forecast ifrs dfil","SDG 15","SDG 15.8"
"172592","cerc contingent financing mechanism belize access bank financing event eligible crisis emergency event","SDG 2","SDG 2.5"
"172592","cerc contingent financing mechanism permit belize rapid access world bank support event eligible crisis emergency","SDG 2","SDG 2.5"
"172592","cerc activated managed accordance applicable bank policies triggered government belize officially declared emergency provided statement justifying request activate emergency funding","SDG 11","SDG 11.2"
"172592","characteristics infrastructure implemented subcomponent defined light projected temperature precipitation based national communication","SDG 9","SDG 9.a"
"172592","citizen engagement process continue employ variety tools focus interviews client surveys digital communication channels whatsapp facebook messenger teams zoom webex google meet phone calls text messages personal interactions strict regard covid physical distancing rules reach audiences ensure opportunities twoway dialogue closing feedback loop","SDG 8","SDG 8.5"
"172592","climate information services generated initiatives increase productivity resilience participating farmers advising crop vulnerabilities informing decisions improve wateruse patterns irrigated advising optimal timing plantingharvesting based weather forecasts build capacity nms staff facilitating training midlevel technicians instrumentation climatology agrometeorology weather climate forecasting design establish system ensure linkages baims nms agrometeorological data systems communication system drawing contact information baims provide agroweather advisories eextension farmers","SDG 11","SDG 11.2"
"172592","climatesmart agriculture matching grants program subcomponent cresap uptake csa technologies promoted provision matching grants","SDG 2","SDG 2.a"
"172592","climatesmart matching grant program windows sets farmers table","SDG 15","SDG 15.8"
"172592","component finance equipment studies training consulting advisory services productivity indicators measure increases beneficiaries crop yields life project key agricultural products maize onions sweet peppers beef cattle","SDG 17","SDG 17.19"
"172592","cost daily farm labor bz based minimum salary scale ongoing influence supply demand","SDG 12","SDG 12.3"
"172592","countrys agricultural sector accounts percent gdp percent employment","SDG 2","SDG 2.a"
"172592","covid pandemic accentuated challenges facing belizean agriculture","SDG 2","SDG 2.a"
"172592","covid travel restrictions require bank develop type support mission simply replacing intensive twoweek physical visit digital interface","SDG 12","SDG 12.1"
"172592","cresap climatesmart agriculture matching grants program implemented demanddriven approach","SDG 2","SDG 2.a"
"172592","cresap project ensure women farmers benefit technical financial business training opportunities facilitate training consideration household responsibilities","SDG 5","SDG 5.5"
"172592","data financial analysis based studies prepared world bank ciat mafse data belize agriculture census field visits","SDG 2","SDG 2.a"
"172592","detailed criteria terms conditions accepting financial institutions participants project set mgom pom","SDG 13","SDG 13.3"
"172592","detailed responsibilities functions mgac set mgom","SDG 15","SDG 15.8"
"172592","digital implementation support missions resemble conventional mission sequence intensive meetings lasting approximately hours","SDG 15","SDG 15.8"
"172592","duration project implementation project closing date march","SDG 15","SDG 15.8"
"172592","economic analysis considers project costs contribute success project activities","SDG 15","SDG 15.8"
"172592","economic analysis based direct costs benefits","SDG 15","SDG 15.8"
"172707","program description","SDG 15","SDG 15.8"
"172707","program development objectives pdo pdo level results indicators","SDG 17","SDG 17.19"
"172707","program financing source amount millions total goi","SDG 13","SDG 13.a"
"172707","program implementation","SDG 15","SDG 15.8"
"172707","program preliminary expenditure framework total estimated program boundaries program program outputs idr thousands september september governments total moh include pbi ministryagency total mof spending total kemenko pmk total bpjsk exclude pbi page national health insurance jkn reforms results program estimated program boundaries program program outputs idr thousands september september bpjsk deficitsurplus total ministry agency governments program boundary moh jkn program program boundary mof boundary program boundary djsnkemenko pmk program boundary bpjsk bpjsk deficitsurplus total boundary ministry agency pforr financing pforr world bank pforr shared program boundary","SDG 1","SDG 1.b"
"172707","program scope program supported governments jkn program reasons nonalignment pforr objective achieve financial protection strengthen quality pforr aligned improve access quality efficiency government program health services strengthen government program health systems improve jkn health outcomes","SDG 14","SDG 14.2"
"172707","programs results framework monitoring evaluation","SDG 17","SDG 17.19"
"172707","prolonged exposure extreme heat heat exhaustion heat cramps heat stroke death exacerbate preexisting chronic conditions diabetes cardiovascular respiratory conditions","SDG 1","SDG 1.1"
"172707","provider network facility type publicprivate accreditation status","SDG 15","SDG 15.8"
"172707","provider payment reform integration health information systems average resourceconstrained lowcapacity settings","SDG 11","SDG 11.2"
"172707","provider payment reforms dlis integration health information systems dli complex politically sensitive reforms","SDG 11","SDG 11.2"
"172707","pt askes persero changed bpjsk","SDG 15","SDG 15.8"
"172707","purchasing primary health care jkn","SDG 3","SDG 3.2"
"172707","purchasing referral services jkn","SDG 1","SDG 1.4"
"172707","quadrant represents developed government identified highpriority districts figure highlighted red provinces targeting absolute maternal deaths populous","SDG 3","SDG 3.1"
"172707","quadrant represents true priority mmr absolute maternal deaths","SDG 5","SDG 5.6"
"172707","quality safety health care","SDG 3","SDG 3.8"
"172707","quarterly ifrs retf consist das activity statement statement expenditures world banks prior review nonprior review project cash forecast months project sources funds","SDG 13","SDG 13.a"
"172707","ra improving efficiency","SDG 7","SDG 7.3"
"172707","ra ras ras pforr aligned government program","SDG 16","SDG 16.8"
"172707","ra strengthening quality care","SDG 15","SDG 15.8"
"172707","ra supporting jkn policy formulation implementation","SDG 11","SDG 11.b"
"172707","realtime performance data quality indicators remain limited","SDG 17","SDG 17.19"
"172707","reductions jkn expenditures","SDG 15","SDG 15.8"
"172707","refining performancebased capitation design reward quality improvement","SDG 14","SDG 14.4"
"172707","refining performancebased capitation design","SDG 15","SDG 15.8"
"172707","reforms rely analysis representative utilization expenditure data ability simulate assess budget impact buyin health care providers medical professional associations patients","SDG 11","SDG 11.c"
